Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE SACRE COEUR (LE),2013,AIX EN PROVENCE,AIX-MARSEILLE,PR,100,98,94,95,97,97
LYCEE CHEVREUL BLANCARDE,2013,MARSEILLE 04,AIX-MARSEILLE,PR,100,97,100,98,99,98
LYCEE NOTRE DAME DE FRANCE,2013,MARSEILLE 06,AIX-MARSEILLE,PR,100,95,96,93,97,91
LYCEE PAUL CLAUDEL,2013,LAON,AMIENS,PU,82,90,77,90,95,88
LYCEE MIREILLE GRENET,2013,COMPIEGNE,AMIENS,PU,100,90,90,86,94,90
LYCEE ANDRE MALRAUX,2013,MONTATAIRE,AMIENS,PU,85,86,83,88,81,77
LYCEE ST JOSEPH DU MONCEL,2013,PONT STE MAXENCE,AMIENS,PR,100,85,100,95,90,97
LYCEE MADELEINE MICHELIS,2013,AMIENS,AMIENS,PU,90,84,80,91,93,95
LYCEE LOUIS PASTEUR,2013,BESANCON,BESANCON,PU,95,88,94,96,97,96
LYCEE PAUL EMILE VICTOR (GENERAL ET TECHNO.),2013,CHAMPAGNOLE,BESANCON,PU,95,91,97,94,93,95
LYCEE JEAN MOULIN,2012,ROUBAIX CEDEX,LILLE,PU,,77,86,,34,34
LYCEE VAUBAN (GENERAL ET TECHNO.),2012,AIRE SUR LA LYS CEDEX,LILLE,PU,85,98,89,84,95,93
LYCEE BAUDIMONT SAINT-CHARLES,2012,ARRAS CEDEX,LILLE,PR,100,98,97,95,97,97
LYCEE JAN LAVEZZARI,2012,BERCK CEDEX,LILLE,PU,69,91,95,93,91,89
LYCEE MARGUERITE YOURCENAR,2012,BEUVRY,LILLE,PU,96,86,87,85,83,84
LYCEE PIERRE BOURDAN,2012,GUERET CEDEX,LIMOGES,PU,87,85,96,93,93,94
LYCEE CHEVALIER D'EON (GENERAL ET TECHNO.),2012,TONNERRE,DIJON,PU,89,79,85,83,88,89
LYCEE DUPLEIX,2012,LANDRECIES,LILLE,PU,78,82,77,88,89,89
LYCEE PIERRE TERMIER,2012,GRENOBLE CEDEX,GRENOBLE,PR,89,99,99,95,95,98
LYCEE SEVIGNE,2013,CHARLEVILLE MEZIERES CED,REIMS,PU,80,91,99,91,96,96
LYCEE RENE CASSIN,2013,MONTFORT SUR MEU,RENNES,PU,100,95,97,96,94,95
LYCEE JOLIOT-CURIE,2013,RENNES,RENNES,PU,,,100,,,97
LYCEE BERTRAND D'ARGENTRE,2013,VITRE,RENNES,PU,91,99,98,94,97,95
LYCEE ANGUIER (GENERAL ET TECHNO.),2013,EU,ROUEN,PU,88,97,90,94,95,95
LYCEE FRANCOIS 1ER,2013,LE HAVRE,ROUEN,PU,94,86,94,95,94,96
LYCEE JEAN-BAPTISTE SCHWILGUE (GENERAL ET TECHNO.),2013,SELESTAT,STRASBOURG,PU,,,100,,,97
INSTITUTION SAINTE CLOTILDE,2013,STRASBOURG,STRASBOURG,PR,,100,95,,95,87
LYCEE LOUIS COUFFIGNAL (GENERAL ET TECHNO.),2013,STRASBOURG,STRASBOURG,PU,,,88,,,88
LYCEE PIERRE BOURDIEU,2013,FRONTON,TOULOUSE,PU,96,95,96,96,95,96
LYCEE TOULOUSE-LAUTREC,2013,TOULOUSE,TOULOUSE,PU,97,92,93,94,95,93
LYCEE SAINT-ETIENNE,2013,CAHORS,TOULOUSE,PR,91,92,92,93,84,93
LYCEE CLAUDE NOUGARO,2013,MONTEILS,TOULOUSE,PU,96,95,87,93,89,92
LYCEE SACRE COEUR,2013,LA VILLE DU BOIS,VERSAILLES,PR,100,98,100,97,97,98
LYCEE SAINT THOMAS DE VILLENEUVE,2013,CHAVILLE,VERSAILLES,PR,100,100,100,97,99,98
LYCEE JEANNE D ARC,2013,COLOMBES,VERSAILLES,PR,,100,98,,97,97
LYCEE LA SALLE PASSY BUZENVAL,2013,RUEIL MALMAISON,VERSAILLES,PR,100,100,100,95,98,98
LYCEE CHARLES DE GAULLE,2013,POISSY,VERSAILLES,PU,,97,99,,96,96
LYCEE NATIVITE (LA),2014,AIX EN PROVENCE,AIX-MARSEILLE,PR,100,100,99,97,97,98
LYCEE VICTOR HUGO,2014,MARSEILLE 03,AIX-MARSEILLE,PU,79,71,60,77,58,64
LYCEE ORT LEON BRAMSON,2014,MARSEILLE 10,AIX-MARSEILLE,PR,,83,100,,90,81
LYCEE JEAN HENRI FABRE (GENERAL ET TECHNO.),2014,CARPENTRAS,AIX-MARSEILLE,PU,94,89,96,93,91,94
LYCEE VICTOR HUGO,2014,CARPENTRAS,AIX-MARSEILLE,PU,96,89,94,92,90,92
LYCEE ALPHONSE BENOIT (GENERAL ET TECHNO.),2014,L ISLE SUR LA SORGUE,AIX-MARSEILLE,PU,92,85,94,95,87,96
LYCEE JEAN ROSTAND,2014,CHANTILLY,AMIENS,PU,87,86,86,94,92,96
LYCEE ST JOSEPH DU MONCEL,2014,PONT STE MAXENCE,AMIENS,PR,100,84,100,88,82,93
LYCEE SAINT PIERRE,2014,ABBEVILLE,AMIENS,PR,100,100,88,96,94,96
LYCEE LAURE GATET,2014,PERIGUEUX,BORDEAUX,PU,85,92,92,92,91,94
LYCEE STENDHAL,2014,AIGUILLON,BORDEAUX,PU,100,83,94,91,85,92
LYCEE CHARLES TELLIER (GENERAL ET TECHNO.),2014,CONDE SUR NOIREAU,CAEN,PU,100,84,90,88,85,95
LYCEE BIGNON,2014,MORTAGNE AU PERCHE,CAEN,PR,100,57,95,,,84
LYCEE SAINT PAUL,2015,BESANCON,BESANCON,PR,94,95,93,94,93,95
LYCEE EDOUARD BELIN (GENERAL ET TECHNO.),2015,VESOUL,BESANCON,PU,96,88,95,93,93,96
LYCEE SAINTE MARIE,2015,LONS LE SAUNIER,BESANCON,PR,86,80,100,,95,95
LYCEE MAINE DE BIRAN,2015,BERGERAC,BORDEAUX,PU,92,90,94,94,92,95
LYCEE NOTRE DAME,2015,BORDEAUX,BORDEAUX,PR,94,88,94,93,83,91
LYCEE ST JOSEPH DE TIVOLI,2015,BORDEAUX,BORDEAUX,PR,92,100,97,96,97,98
LYCEE SUD MEDOC LA BOETIE,2015,LE TAILLAN MEDOC,BORDEAUX,PU,95,94,97,96,97,98
LYCEE PAPE CLEMENT,2015,PESSAC,BORDEAUX,PU,100,96,93,96,97,97
LYCEE BERNAT  ETXEPARE,2015,BAYONNE,BORDEAUX,PR,100,100,100,95,95,95
LYCEE COMMERCE,2015,USTARITZ,BORDEAUX,PR,100,,,91,,94
LYCEE VICTOR HUGO,2015,CAEN,CAEN,PU,97,98,98,97,97,97
LYCEE EMILE LITTRE (GENERAL ET TECHNO.),2015,AVRANCHES,CAEN,PU,93,95,94,97,96,97
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),2015,AMBERT,CLERMONT-FERRAND,PU,73,96,92,88,91,93
LYCEE AMBROISE BRUGIERE,2015,CLERMONT FERRAND,CLERMONT-FERRAND,PU,88,79,75,84,85,85
LYCEE MONTDORY,2015,THIERS,CLERMONT-FERRAND,PU,94,82,92,93,91,93
LYCEE JEAN PAUL DE ROCCA SERRA (GENERAL ET TECHNO.),2015,PORTO VECCHIO,CORSE,PU,96,100,100,96,95,96
LYCEE DE BALAGNE (GENERAL ET TECHNO.),2015,L ILE ROUSSE,CORSE,PU,91,97,100,87,84,80
LYCEE MARCELIN BERTHELOT,2015,PANTIN,CRETEIL,PU,78,82,77,80,72,69
LYCEE BLAISE CENDRARS (GENERAL ET TECHNO.),2015,SEVRAN,CRETEIL,PU,85,94,89,79,81,85
LYCEE LOUISE MICHEL (GENERAL ET TECHNO.),2015,CHAMPIGNY SUR MARNE,CRETEIL,PU,91,98,90,88,93,88
LYCEE PABLO PICASSO,2015,FONTENAY SOUS BOIS,CRETEIL,PU,96,90,83,94,87,89
LYCEE CHRISTOPHE COLOMB (GENERAL ET TECHNO.),2015,SUCY EN BRIE,CRETEIL,PU,82,88,97,93,94,95
LYCEE JEAN MACE (GENERAL ET TECHNO.),2015,VITRY SUR SEINE,CRETEIL,PU,78,83,78,85,81,73
LYCEE LE CASTEL (GENERAL ET TECHNO.),2015,DIJON,DIJON,PU,80,76,85,92,89,89
LYCEE HENRI VINCENOT (GENERAL ET TECHNO.),2015,LOUHANS,DIJON,PU,96,97,87,93,94,94
LYCEE SAINT MICHEL,2015,ANNECY,GRENOBLE,PR,100,98,99,95,97,97
LYCEE ROGER FRISON ROCHE (GENERAL ET TECHNO.),2015,CHAMONIX MONT BLANC,GRENOBLE,PU,,93,98,,93,94
LYCEE DEMOTZ DE LA SALLE (GENERAL ET TECHNO.),2015,RUMILLY,GRENOBLE,PR,100,96,100,96,88,91
LYCEE PABLO NERUDA (GENERAL ET TECHNO.),2015,ST MARTIN D HERES,GRENOBLE,PU,82,100,94,89,92,96
LYCEE LEOPOLD ELFORT (GENERAL ET TECHNO.),2015,MANA,GUYANE,PU,89,93,74,73,74,73
LYCEE LAMA PREVOT (GENERAL ET TECHNO.),2015,REMIRE MONTJOLY,GUYANE,PU,94,91,96,94,93,96
LYCEE JULES MOUSSERON,2015,DENAIN,LILLE,PU,73,,93,87,,78
LYCEE SAINT JEAN,2015,DOUAI,LILLE,PR,89,98,98,94,95,94
LYCEE AUGUSTE ANGELLIER,2015,DUNKERQUE,LILLE,PU,98,94,99,95,94,96
LYCEE NOTRE-DAME DES DUNES,2015,DUNKERQUE,LILLE,PR,96,98,99,95,96,97
LYCEE FAIDHERBE,2015,LILLE,LILLE,PU,92,86,87,95,95,94
LYCEE NOTRE-DAME DES ANGES,2015,ST AMAND LES EAUX,LILLE,PR,100,100,100,,95,96
LYCEE JULIETTE R?CAMIER,2015,LYON 02,LYON,PU,86,80,77,88,89,84
LYCEE CHARLES DE FOUCAULD,2015,LYON 03,LYON,PR,100,100,100,97,98,98
LYCEE AUX LAZARISTES,2015,LYON 05,LYON,PR,,100,99,,98,99
LYCEE PIERRE TERMIER,2015,LYON 08,LYON,PR,100,97,95,93,95,95
LYCEE RENE CASSIN,2015,TARARE,LYON,PU,93,96,97,94,90,94
LYCEE MONTGERALD,2015,LE MARIN,MARTINIQUE,PU,100,100,96,82,91,86
LYCEE JULES FIL (GENERAL ET TECHNO.),2015,CARCASSONNE,MONTPELLIER,PU,84,88,97,91,91,93
LYCEE JACQUES RUFFIE (GENERAL ET TECHNO.),2015,LIMOUX,MONTPELLIER,PU,84,94,97,88,93,94
LYCEE BEAUSEJOUR (GENERAL ET TECHNO.),2015,NARBONNE,MONTPELLIER,PR,100,100,91,95,94,95
LYCEE INTERNAT D'EXCELLENCE,2015,MONTPELLIER,MONTPELLIER,PU,67,50,70,,74,69
LYCEE DES RECOLLETS,2015,LONGWY,NANCY-METZ,PR,71,82,91,89,92,87
LYCEE CHARLES DE FOUCAULD,2015,NANCY,NANCY-METZ,PR,,68,88,,82,85
LYCEE JEAN HANZELET (GENERAL ET TECHNO.),2015,PONT A MOUSSON,NANCY-METZ,PU,,,94,,,92
LYCEE JACQUES CALLOT,2015,VANDOEUVRE LES NANCY,NANCY-METZ,PU,89,90,89,92,91,94
LYCEE HENRI NOMINE (GENERAL ET TECHNO.),2015,SARREGUEMINES,NANCY-METZ,PU,,,93,,,90
LYCEE SAINTE CHRETIENNE,2015,SARREGUEMINES,NANCY-METZ,PR,67,94,96,,87,86
LYCEE JOUBERT-EMILIEN MAILLARD (GENERAL ET TECHNO.),2015,ANCENIS,NANTES,PU,87,93,92,94,96,94
LYCEE NICOLAS APPERT (GENERAL ET TECHNO.),2015,ORVAULT,NANTES,PU,94,94,99,95,98,97
LYCEE JACQUES PREVERT,2015,SAVENAY,NANTES,PU,93,95,94,96,96,96
LYCEE ST JOSEPH,2015,LA POMMERAYE,NANTES,PR,92,97,93,95,95,94
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),2015,SEGRE,NANTES,PU,83,97,89,94,95,92
LYCEE ST GABRIEL ST MICHEL,2015,ST LAURENT SUR SEVRE,NANTES,PR,95,92,93,91,96,96
LYCEE COSTEBELLE (GENERAL ET TECHNO.),2015,HYERES,NICE,PU,90,94,92,94,96,95
LYCEE ANTOINE DE SAINT EXUPERY (GENERAL ET TECHNO.),2015,ST RAPHAEL,NICE,PU,98,95,95,94,96,94
LYCEE FULBERT,2015,CHARTRES,ORLEANS-TOURS,PU,83,92,78,90,93,89
LYCEE JEAN ZAY (GENERAL ET TECHNO.),2015,ORLEANS,ORLEANS-TOURS,PU,100,93,95,95,97,97
ECOLE ALSACIENNE,2015,PARIS 06,PARIS,PR,100,98,99,98,98,97
LYCEE MONTAIGNE,2015,PARIS 06,PARIS,PU,96,94,94,95,95,92
LYCEE LA ROCHEFOUCAULD,2015,PARIS 07,PARIS,PR,,100,100,,99,99
LYCEE COLBERT,2015,PARIS 10,PARIS,PU,77,82,73,86,88,74
LYCEE E. NAPOLEON ST PIERRE FOURIER,2015,PARIS 12,PARIS,PR,100,100,98,96,95,93
LYCEE NOTRE-DAME DES OISEAUX,2015,PARIS 16,PARIS,PR,82,94,100,96,96,98
LYCEE STE URSULE-LOUISE BETTIGNIES,2015,PARIS 17,PARIS,PR,100,100,100,98,98,98
LYCEE NOTRE DAME DE RECOUVRANCE,2015,SAINTES,POITIERS,PR,75,92,93,,95,86
LYCEE VICTOR HUGO,2015,POITIERS,POITIERS,PU,94,90,91,97,96,97
LYCEE THOMAS MASARYK,2015,VOUZIERS,REIMS,PU,88,81,87,91,91,88
LYCEE JULES LESVEN,2015,BREST,RENNES,PU,,86,,,94,
LYCEE ST ETIENNE (GENERAL ET TECHNO.),2015,CESSON SEVIGNE,RENNES,PR,,,83,,,90
LYCEE JEAN MACE (GENERAL ET TECHNO.),2015,LANESTER,RENNES,PU,100,86,90,96,92,94
LYCEE COLBERT (GENERAL ET TECHNO.),2015,LORIENT,RENNES,PU,78,89,88,83,94,95
LYCEE FREPPEL,2015,OBERNAI,STRASBOURG,PU,96,99,95,97,97,98
LYCEE LE GYMNASE JEAN STURM,2015,STRASBOURG,STRASBOURG,PR,100,100,100,98,99,99
LYCEE ALFRED KASTLER,2015,GUEBWILLER,STRASBOURG,PU,100,91,91,95,94,97
LYCEE CL?MENCE ROYER,2015,FONSORBES,TOULOUSE,PU,90,99,93,95,94,95
LYCEE GASTON MONNERVILLE (GENERAL ET TECHNO.),2015,CAHORS,TOULOUSE,PU,,,91,,,95
LYCEE CLEMENT ADER (GENERAL ET TECHNO.),2015,ATHIS MONS,VERSAILLES,PU,,,80,,,79
LYCEE IRENE ET FREDERIC JOLIOT CURIE,2013,SETE,MONTPELLIER,PU,88,87,94,86,88,91
LYCEE ST JOSEPH DU LOQUIDY,2013,NANTES,NANTES,PR,100,100,100,99,99,99
LYCEE DAVID D ANGERS,2013,ANGERS,NANTES,PU,96,95,96,96,98,97
LYCEE SAINTE MARIE,2013,CHOLET,NANTES,PR,97,98,96,98,98,97
LYCEE DUPLESSIS MORNAY,2013,SAUMUR,NANTES,PU,95,95,98,95,95,95
LYCEE PIERRE MENDES-FRANCE,2013,LA ROCHE SUR YON,NANTES,PU,90,96,97,93,95,93
LYCEE JACQUES AUDIBERTI,2013,ANTIBES,NICE,PU,88,89,92,91,91,94
LYCEE ALBERT CALMETTE,2013,NICE,NICE,PU,100,93,95,97,97,97
LYCEE MAINTENON (GENERAL ET TECHNO.),2013,HYERES,NICE,PR,100,100,98,97,99,98
LYCEE STANISLAS,2013,ST RAPHAEL,NICE,PR,100,100,97,97,97,98
LYCEE MARMOUTIER,2013,TOURS,ORLEANS-TOURS,PR,91,97,98,95,98,97
LYCEE BERNARD PALISSY,2013,GIEN,ORLEANS-TOURS,PU,97,96,92,93,94,93
LYCEE PAUL BERT,2013,PARIS 14,PARIS,PU,90,80,81,91,89,80
LYCEE CLAUDE BERNARD,2013,PARIS 16,PARIS,PU,93,81,87,94,93,89
LYCEE NOTRE-DAME DES OISEAUX,2013,PARIS 16,PARIS,PR,94,95,100,94,95,98
LYCEE STE URSULE-LOUISE BETTIGNIES,2013,PARIS 17,PARIS,PR,100,100,100,98,99,98
LYCEE LUCIEN DE HIRSCH,2013,PARIS 19,PARIS,PR,,100,100,,83,95
LYCEE MARCEL DASSAULT (GENERAL ET TECHNO.),2013,ROCHEFORT,POITIERS,PU,,,94,,,91
LYCEE ELIE CARTAN (GENERAL ET TECHNO.),2013,LA TOUR DU PIN,GRENOBLE,PU,97,93,96,93,92,92
LYCEE PIERRE BEGHIN,2013,MOIRANS,GRENOBLE,PU,100,89,98,96,92,95
LYCEE FERDINAND BUISSON (GENERAL ET TECHNO.),2013,VOIRON,GRENOBLE,PU,,,98,,,96
LYCEE SAINT EXUPERY,2013,BOURG ST MAURICE,GRENOBLE,PU,,94,81,,95,94
LYCEE LA PERSEVERANCE MIXTE,2013,POINTE A PITRE,GUADELOUPE,PR,67,73,100,80,57,80
LYCEE FELIX EBOUE,2013,CAYENNE,GUYANE,PU,80,84,69,80,84,88
LYCEE PIERRE POIVRE,2013,ST JOSEPH,LA REUNION,PU,88,92,90,92,89,95
LYCEE CATHOLIQUE LA SALLE ST CHARLES (GENERAL ET TECHNO.),2013,ST PIERRE,LA REUNION,PR,100,100,100,97,97,98
LYCEE CHARLOTTE PERRIAND (GENERAL ET TECHNO.),2013,GENECH,LILLE,PU,100,90,97,98,97,97
LYCEE BAUDELAIRE,2013,ROUBAIX,LILLE,PU,97,93,95,93,88,89
LYCEE BLAISE PASCAL,2013,LONGUENESSE,LILLE,PU,,,97,,,96
LYCEE PIERRE BOURDAN,2013,GUERET,LIMOGES,PU,97,93,86,93,97,95
LYCEE GAY LUSSAC,2013,LIMOGES,LIMOGES,PU,100,90,97,96,92,96
LYCEE ST JEAN,2013,LIMOGES,LIMOGES,PR,100,90,95,96,95,97
LYCEE CHAMPAGNAT,2013,ST SYMPHORIEN SUR COISE,LYON,PR,100,98,100,96,97,97
LYCEE ADVENTISTE RAMA (GENERAL ET TECHNO.),2013,STE LUCE,MARTINIQUE,PR,,100,96,,90,89
LYCEE DOCTEUR LACROIX,2013,NARBONNE,MONTPELLIER,PU,93,93,92,94,95,94
LYCEE FENELON,2014,CLERMONT FERRAND,CLERMONT-FERRAND,PR,100,100,100,97,98,98
LYCEE GALILEE,2014,COMBS LA VILLE,CRETEIL,PU,100,100,92,95,96,94
LYCEE JEANNE D'ARC SAINT ASPAIS,2014,FONTAINEBLEAU,CRETEIL,PR,92,100,100,95,97,95
LYCEE LES PANNEVELLES (GENERAL ET TECHNO.),2014,PROVINS,CRETEIL,PU,,,94,,,83
LYCEE ALBERT DE MUN,2014,NOGENT SUR MARNE,CRETEIL,PR,100,100,100,,99,98
LYCEE MARIE RIVIER,2014,BOURG ST ANDEOL,GRENOBLE,PR,100,81,97,92,92,92
LYCEE CAMILLE VERNET,2014,VALENCE,GRENOBLE,PU,98,95,95,93,95,95
LYCEE DE L'ALBANAIS,2014,RUMILLY,GRENOBLE,PU,96,99,98,93,94,94
LYCEE INTERNATIONAL EUROPOLE,2014,GRENOBLE,GRENOBLE,PU,100,100,99,97,99,98
LYCEE BERTENE JUMINER (GENERAL ET TECHNO.),2014,ST LAURENT DU MARONI,GUYANE,PU,78,75,80,84,63,83
LYCEE LUMINA SOPHIE (GENERAL ET TECHNO.),2014,ST LAURENT DU MARONI,GUYANE,PU,83,84,45,63,35,55
LYCEE BOISJOLY POTIER (GENERAL ET TECHNO.),2014,LE TAMPON,LA REUNION,PU,88,79,97,91,78,89
LYCEE MAHATMA GANDHI,2014,ST ANDRE,LA REUNION,PU,91,93,100,89,90,96
LYCEE DE VINCENDO (GENERAL ET TECHNO.),2014,ST JOSEPH,LA REUNION,PU,86,94,94,94,86,94
LYCEE SAINTE JEANNE D'ARC (GENERAL ET TECHNO.),2014,AULNOYE AYMERIES,LILLE,PR,,64,76,,89,88
LYCEE ACTIVE BILINGUE JEANNINE MANUE,2014,MARCQ EN BAROEUL,LILLE,PR,100,100,95,,98,97
LYCEE CONDORCET,2014,LENS,LILLE,PU,71,88,79,87,83,85
LYCEE HENRI DARRAS,2014,LIEVIN,LILLE,PU,79,91,85,89,92,91
LYCEE SAINT JOSEPH,2014,ST MARTIN BOULOGNE,LILLE,PR,,,100,,,
LYCEE SAINT PAUL,2014,ROANNE,LYON,PR,90,77,94,93,91,97
LYCEE GERMAINE TILLION,2014,SAIN BEL,LYON,PU,96,94,97,95,94,97
LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.),2014,THIZY,LYON,PU,100,100,92,,96,94
LYCEE GEORGES CLEMENCEAU,2014,MONTPELLIER,MONTPELLIER,PU,86,83,86,92,94,93
LYCEE JEAN MONNET,2014,MONTPELLIER,MONTPELLIER,PU,89,86,86,96,86,92
LYCEE SAINT-JOSEPH (GENERAL ET TECHNO.),2014,SETE,MONTPELLIER,PR,100,100,100,94,97,97
LYCEE GEORGES DE LA TOUR,2014,NANCY,NANCY-METZ,PU,100,75,100,,81,90
LYCEE JEAN-AUGUSTE MARGUERITTE (GENERAL ET TECHNO.),2014,VERDUN,NANCY-METZ,PU,97,93,94,95,92,94
LYCEE GALILEE,2014,GUERANDE,NANTES,PU,95,100,93,95,95,94
LYCEE CARCOUET,2014,NANTES,NANTES,PU,71,91,85,83,96,89
LYCEE PAYS DE RETZ,2014,PORNIC,NANTES,PU,100,87,96,95,92,95
LYCEE GABRIEL DESHAYES,2014,ST GILDAS DES BOIS,NANTES,PR,100,100,100,,,95
LYCEE DUPLESSIS MORNAY,2014,SAUMUR,NANTES,PU,93,97,93,93,91,95
LYCEE FRANCOIS TRUFFAUT,2014,CHALLANS,NANTES,PU,94,97,97,90,94,94
LYCEE MAUPERTUIS,2014,ST MALO,RENNES,PU,,,84,,,94
LYCEE BENJAMIN FRANKLIN,2014,AURAY,RENNES,PU,100,86,98,95,92,96
LYCEE LA MENNAIS,2014,PLOERMEL,RENNES,PR,100,100,100,96,97,97
LYCEE CHARLES DE GAULLE,2014,VANNES,RENNES,PU,91,95,98,92,96,97
LYCEE FENELON,2014,ELBEUF,ROUEN,PR,100,100,98,,96,91
LYCEE ANGUIER (GENERAL ET TECHNO.),2014,EU,ROUEN,PU,88,85,93,95,94,95
LYCEE CLAUDE MONET,2014,LE HAVRE,ROUEN,PU,94,88,99,93,89,92
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),2014,STE ADRESSE,ROUEN,PR,,,100,,,90
ORATOIRE SAINTE-MARIE,2014,AUCH,TOULOUSE,PR,93,100,98,95,95,96
LYCEE JEAN DUPUY,2014,TARBES,TOULOUSE,PU,100,100,93,92,91,94
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),2014,FIGEAC,TOULOUSE,PR,80,95,100,,92,97
LYCEE EDMOND MICHELET,2014,ARPAJON,VERSAILLES,PU,86,79,73,92,88,84
LYCEE NOTRE DAME DE SION (GENERAL ET TECHNO.),2014,EVRY,VERSAILLES,PR,100,100,100,97,99,97
LYCEE PAUL RICOEUR,2014,LOUVRES,VERSAILLES,PR,100,70,100,,78,96
LYCEE CHARLES DE GAULLE,2014,POISSY,VERSAILLES,PU,,96,98,,95,94
LYCEE CHEVREUL BLANCARDE,2015,MARSEILLE 04,AIX-MARSEILLE,PR,100,97,99,97,97,98
LYCEE REMPART (RUE DU),2015,MARSEILLE 07,AIX-MARSEILLE,PU,,67,82,,79,81
LYCEE LACORDAIRE,2015,MARSEILLE 13,AIX-MARSEILLE,PR,100,100,100,99,99,99
LYCEE SEVIGNE,2015,MARSEILLE 13,AIX-MARSEILLE,PR,100,96,100,97,96,97
LYCEE YAVNE,2015,MARSEILLE 13,AIX-MARSEILLE,PR,,94,100,,91,85
LYCEE SAINT EXUPERY,2015,MARSEILLE 15,AIX-MARSEILLE,PU,65,55,58,75,64,63
LYCEE JULES FERRY,2014,CANNES,NICE,PU,,,100,,,98
LYCEE JEAN MOULIN,2014,ST AMAND MONTROND,ORLEANS-TOURS,PU,96,96,95,94,87,92
LYCEE GRANDMONT,2014,TOURS,ORLEANS-TOURS,PU,84,93,94,95,95,96
LYCEE CLAUDE DE FRANCE,2014,ROMORANTIN LANTHENAY,ORLEANS-TOURS,PU,95,96,84,92,92,93
LYCEE BERNARD PALISSY,2014,GIEN,ORLEANS-TOURS,PU,96,93,84,93,90,92
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.),2014,ORLEANS,ORLEANS-TOURS,PU,76,92,87,86,87,90
LYCEE LOUIS LE GRAND,2014,PARIS 05,PARIS,PU,100,,100,100,,99
LYCEE EDGAR POE,2014,PARIS 10,PARIS,PR,100,100,100,97,97,93
LYCEE NOTRE-DAME -ST VINCENT DE PAUL (GENERAL ET TECHNO.),2014,PARIS 13,PARIS,PR,89,,100,95,,87
LYCEE NOTRE-DAME DE FRANCE,2014,PARIS 13,PARIS,PR,100,100,100,98,98,99
LYCEE LA TOUR,2014,PARIS 16,PARIS,PR,100,100,100,99,99,99
LYCEE EDOUARD HERRIOT,2014,LA CHAPELLE ST LUC,REIMS,PU,98,87,96,93,91,96
LYCEE CAMILLE CLAUDEL,2014,TROYES,REIMS,PU,96,90,90,93,90,93
LYCEE GEORGES CLEMENCEAU,2014,REIMS,REIMS,PU,90,81,88,94,91,92
LYCEE CHAPTAL,2014,ST BRIEUC,RENNES,PU,,,100,,,87
LYCEE JACQUES CARTIER (GENERAL ET TECHNO.),2014,ST MALO,RENNES,PU,90,92,93,94,95,96
LYCEE NATIVITE (LA),2012,AIX EN PROVENCE CEDEX,AIX-MARSEILLE,PR,100,100,99,97,97,97
LYCEE GIOCANTE DE CASABIANCA,2017,BASTIA,CORSE,PU,98,96,94,92,91,96
LYCEE RENE CASSIN (GENERAL ET TECHNO.),2017,NOISIEL,CRETEIL,PU,,,70,,,67
LYCEE JEAN ZAY,2017,AULNAY SOUS BOIS,CRETEIL,PU,93,81,85,86,86,86
LYCEE EUGENE DELACROIX (GENERAL ET TECHNO.),2017,DRANCY,CRETEIL,PU,70,73,80,76,68,69
LYCEE HENRI MATISSE,2017,MONTREUIL,CRETEIL,PR,100,100,100,98,98,98
LYCEE PAULINE ROLAND (GENERAL ET TECHNO.),2017,CHEVILLY LARUE,CRETEIL,PU,,94,84,,91,88
LYCEE D'ARSONVAL,2017,ST MAUR DES FOSSES,CRETEIL,PU,100,100,93,97,95,97
LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.),2017,ST MAUR DES FOSSES,CRETEIL,PU,,90,87,,87,90
LYCEE TEILHARD DE CHARDIN,2017,ST MAUR DES FOSSES,CRETEIL,PR,100,100,98,97,97,97
CLOS MAIRE (GENERAL ET TECHNO.),2017,BEAUNE,DIJON,PU,94,87,89,94,91,94
LYCEE RAOUL FOLLEREAU,2017,NEVERS,DIJON,PU,94,90,82,94,94,90
LYCEE LE CHEYLARD (GENERAL ET TECHNO.),2017,LE CHEYLARD,GRENOBLE,PU,83,83,92,93,90,92
LYCEE ALAIN BORNE,2017,MONTELIMAR,GRENOBLE,PU,86,94,93,95,94,95
LYCEE VAUCANSON (GENERAL ET TECHNO.),2017,GRENOBLE,GRENOBLE,PU,,,91,,,90
LYCEE RAOUL GEORGES NICOLO (GENERAL ET TECHNO.),2017,BASSE TERRE,GUADELOUPE,PU,,92,98,,82,82
LYCEE LEOPOLD ELFORT (GENERAL ET TECHNO.),2017,MANA,GUYANE,PU,92,94,76,80,71,82
LYCEE SARDA GARRIGA,2017,ST ANDRE,LA REUNION,PU,100,96,96,93,89,94
LYCEE SAINT JEAN,2017,DOUAI,LILLE,PR,100,100,100,96,97,97
LYCEE JEAN MOULIN (GENERAL ET TECHNO.),2017,ROUBAIX,LILLE,PU,,52,47,,59,45
